State,District,Murder,Attempt_to_commit_Murder,Rape,Kidnapping_Abduction,Robbery,Burglary,Theft,Riots,Cheating,Hurt,Dowry_Deaths,Assault_on_Women,Sexual_Harassment,Stalking,Death_by_Negligence,Extortion,Incidence_of_Rash_Driving,Total
Jharkhand,Dhanbad,79,8,54,155,48,219,1052,216,26,27,28,54,0,0,1,36,449,2452
Jharkhand,Dhanbad Railway,13,0,0,5,7,1,221,0,6,1,2,6,0,0,0,1,0,263
Jharkhand,Dumka,59,32,39,31,5,73,239,62,33,146,11,9,0,2,135,7,146,1029
Jharkhand,Garhwa,67,248,50,90,30,60,154,0,93,85,25,19,19,0,60,50,107,1157
Jharkhand,Giridih,72,71,58,91,35,62,284,0,145,34,40,39,39,0,106,10,88,1174
Jharkhand,Godda,50,0,34,61,6,18,147,74,56,0,3,0,0,0,0,0,110,559
Jharkhand,Gumla,187,21,67,45,34,21,140,13,38,0,1,15,0,0,95,63,92,832
Jharkhand,Hazaribagh,60,4,52,110,25,131,459,97,135,7,23,50,0,0,159,31,147,1490
Jharkhand,Jamshedpur,100,52,55,82,43,175,909,99,427,61,13,47,11,0,178,32,197,2481
Jharkhand,Jamshedpur Railway,11,0,0,5,4,1,118,0,5,1,0,2,0,0,2,2,2,153
Jharkhand,Jamtara,18,49,27,28,6,30,123,50,71,3,10,29,1,0,30,14,39,528
Jharkhand,Khunti,84,12,7,16,19,2,38,36,5,3,2,3,0,0,41,18,20,306
Jharkhand,Koderma,25,6,15,41,11,33,125,78,60,0,16,0,0,0,58,4,75,547
Jharkhand,Latehar,41,11,25,37,9,15,107,21,18,0,8,0,0,0,54,10,47,403
Jharkhand,Lohardagga,40,14,43,32,13,25,75,5,25,0,2,5,0,0,42,10,48,379
Jharkhand,Pakur,30,16,55,18,5,35,74,57,47,29,1,12,5,0,68,15,0,467
Jharkhand,Palamu,77,90,44,68,43,87,203,122,51,16,19,15,15,0,85,36,88,1059
Jharkhand,Ramgarh,40,40,48,60,10,51,298,103,53,10,11,20,7,3,77,19,158,1008
Jharkhand,Ranchi,133,45,75,81,50,84,518,90,112,305,13,1,0,0,130,28,361,2026
Jharkhand,Sahebganj,72,29,87,68,9,10,116,69,89,0,4,20,0,0,28,9,0,610
Jharkhand,Saraikela,58,19,31,41,11,47,207,18,21,10,7,27,0,0,106,17,91,711
Jharkhand,Simdega,77,12,24,15,16,10,40,14,16,5,1,5,0,0,0,21,70,326
